6873100.00
29382,0,100.00
25439,-1090.00,0.00,100.00
25511,-1066.00,0.00,100.00
25585,-1007.00,0.00,100.00
25661,-763.00,0.00,100.00
25738,1450.00,0.00,100.00
25815,5444.00,0.00,100.00
25890,-4198.00,0.00,100.00
25967,-14326.00,0.00,100.00
26043,5664.00,0.00,100.00
26120,-16088.00,0.00,100.00
26196,-4970.00,0.00,100.00
26272,-6746.00,0.00,100.00
26349,-4618.00,0.00,100.00
26426,-3943.00,0.00,100.00
26499,-3570.00,0.00,100.00
26571,-3394.00,0.00,100.00
26645,-3211.00,0.00,100.00
26718,-3088.00,0.00,100.00
26790,-2949.00,0.00,100.00
26863,-2827.00,0.00,100.00
26937,-2704.00,0.00,100.00
27010,-2620.00,0.00,100.00
27082,-2371.00,0.00,100.00
27155,-2149.00,0.00,100.00
27229,-2071.00,0.00,100.00
27301,-1597.00,0.00,100.00
27374,-1664.00,0.00,100.00
27447,-1481.00,0.00,100.00
27521,-1443.00,0.00,100.00
27593,-1319.00,0.00,100.00
27666,-1161.00,0.00,100.00
27739,-1294.00,0.00,100.00
27812,-1007.00,0.00,100.00
27886,-1078.00,0.00,100.00
27962,-798.00,0.00,100.00
28039,1567.00,0.00,100.00
28114,13131.00,0.00,100.00
28191,8913.00,0.00,100.00
28267,17913.00,0.00,100.00
28344,-8265.00,0.00,100.00
28421,-5222.00,0.00,100.00
28497,-3777.00,0.00,100.00
28573,-3538.00,0.00,100.00
28650,-3185.00,0.00,100.00
28723,-3078.00,0.00,100.00
28800,-2885.00,0.00,100.00
28875,-2803.00,0.00,100.00
28951,-2694.00,0.00,100.00
29028,-2603.00,0.00,100.00
29104,-2304.00,0.00,100.00
29179,-2102.00,0.00,100.00
29255,-1869.00,0.00,100.00
29332,-1677.00,0.00,100.00
29408,-1571.00,0.00,100.00
29484,-1343.00,0.00,100.00
29560,-1173.00,0.00,100.00
29636,-1221.00,0.00,100.00
29712,-1137.00,0.00,100.00
29788,-1090.00,0.00,100.00
29864,-1030.00,0.00,100.00
29940,-949.00,0.00,100.00
30016,-972.00,0.00,100.00
30090,-879.00,0.00,100.00
30167,-635.00,0.00,100.00
30242,2154.00,0.00,100.00
30319,-8866.00,0.00,100.00
30395,-5456.00,0.00,100.00
30472,-5472.00,0.00,100.00
30547,-13789.00,0.00,100.00
30624,-18168.00,0.00,100.00
30701,-6436.00,0.00,100.00
30778,-6383.00,0.00,100.00
30854,-3993.00,0.00,100.00
30930,-3865.00,0.00,100.00
31004,-3436.00,0.00,100.00
31077,-3222.00,0.00,100.00
31150,-3099.00,0.00,100.00
31222,-2968.00,0.00,100.00
31296,-2846.00,0.00,100.00
31369,-2722.00,0.00,100.00
31441,-2609.00,0.00,100.00
31514,-2454.00,0.00,100.00
31588,-2150.00,0.00,100.00
31661,-1927.00,0.00,100.00
31733,-1799.00,0.00,100.00
31806,-1704.00,0.00,100.00
31880,-1481.00,0.00,100.00
31952,-1443.00,0.00,100.00
32025,-1319.00,0.00,100.00
32098,-1233.00,0.00,100.00
32172,-1161.00,0.00,100.00
32244,-1078.00,0.00,100.00
32317,-1054.00,0.00,100.00
32391,-984.00,0.00,100.00
32467,-751.00,0.00,100.00
32543,2650.00,0.00,100.00
32620,-7158.00,0.00,100.00
32696,11392.00,0.00,100.00
32773,19011.00,0.00,100.00
